Label,Value,Area (ÂµmÂ²),Center_X,Center_Y,Center_Z
619,1,9.85411,24.982,-9.31382,-12.8451
491,0,13.0321,27.3489,7.65605,-8.49887
539,0,11.8183,-3.01183,21.1755,-2.70626
283,0,19.1821,31.4558,7.080419999999999,-10.0419
155,0,19.48,-42.0529,32.6855,-6.235519999999999
667,1,4.48236,50.9458,42.051,-9.87968
411,0,14.6301,1.39489,80.2185,-5.52716
603,0,29.6713,-18.3349,60.9658,-2.0796
347,0,28.8185,35.3203,66.3639,-5.922630000000001
219,0,12.1279,-40.0843,35.5745,-5.675269999999999
475,0,23.3434,33.5708,73.8983,-7.2587600000000005
59,1,30.6446,-46.1187,16.0022,-10.804
571,0,49.048,-32.5712,20.2984,-5.5784199999999995
315,0,20.0474,24.0939,79.1741,-6.65976
187,0,28.9524,28.7674,64.2014,-3.70091
699,0,5.291519999999999,-35.9148,67.0363,-7.22078
443,1,33.6425,17.6983,-12.1145,-11.7858
379,0,34.5487,16.929000000000002,15.8908,-3.36665
251,0,11.7071,7.629289999999999,-1.6646599999999998,-9.62064
7,0,13.5096,21.1549,71.289,-5.08058
135,0,16.7548,-28.3865,31.7979,-4.07719
647,0,6.7519800000000005,-58.9077,23.7124,-17.0318
391,0,20.1278,15.5243,41.8538,-0.0209741
71,0,19.2039,-30.5237,71.2523,-6.8520199999999996
583,1,46.1997,-13.2829,-22.1116,-19.2778
327,0,23.482,24.7799,57.3367,-1.34794
199,0,18.4184,-21.5871,35.433,-2.6556599999999997
455,0,32.8215,-7.224989999999999,23.0412,-2.76594
551,0,19.8339,-33.816,78.4786,-6.1134699999999995
167,0,24.4492,-1.8429400000000002,49.7062,-0.6504340000000001
679,0,21.8907,-32.3444,39.6891,-3.8908300000000002
423,0,21.0436,-12.1952,36.1615,-1.75963
103,0,17.9085,-35.6613,58.0641,-5.95221
231,0,22.7129,2.56956,-8.117519999999999,-10.8049
487,0,28.7546,-6.533869999999999,6.91891,-6.245019999999999
23,0,20.7905,0.149572,29.8088,-1.52701
279,0,17.0818,-21.1043,70.9556,-3.84732
663,0,17.2188,47.3519,45.2375,-9.66607
343,1,34.3445,31.0212,92.2415,-12.5351
215,0,18.7015,-22.962,91.0786,-13.9729
471,0,22.5348,18.3291,45.2518,-0.153255
567,0,21.2438,-0.0412328,14.2068,-3.7805800000000005
311,0,29.5737,23.415,41.0984,-0.837406
183,0,29.6635,-11.6736,63.1794,-1.72048
695,1,2.39149,27.2934,-8.00797,-13.2046
439,0,20.5089,34.3424,32.3405,-4.3058
119,0,24.4483,-23.9013,63.0565,-3.00973
375,0,8.480939999999999,41.081,36.7341,-7.290080000000001
247,0,24.0474,3.114,1.05935,-8.54055
503,0,15.212,-7.105119999999999,56.1816,-0.936135
15,0,31.9427,37.9547,58.3878,-5.22791
271,0,22.0815,13.9374,49.6256,-0.138602
143,0,18.8306,-23.8828,-0.63056,-11.7799
655,1,19.9301,-16.5375,-23.2764,-20.3959
399,0,22.2666,2.73497,17.8709,-2.98941
79,0,26.9998,-30.0617,94.056,-13.6664
207,0,19.6348,-4.47032,52.1428,-0.86554
47,0,28.6937,-51.9728,34.0964,-10.947000000000001
303,0,33.6286,20.2204,55.0361,-0.8222510000000001
175,0,37.7476,-15.0902,81.5447,-7.5403899999999995
