plant,time point,cell,area
P5,3,1139,32.294
P5,3,1142,30.479
P5,3,1149,31.2671
P5,3,1155,31.0917
P5,3,1157,47.7878
P5,3,1167,26.2425
P5,3,1170,41.9218
P5,3,1171,40.3126
P5,3,1177,31.6048
P5,3,1202,32.2861
P5,3,1204,36.2852
P5,3,1205,19.9696
P5,3,1207,22.2115
P5,3,1214,25.8774
P5,3,1217,32.9199
P5,3,1232,45.7349
P5,3,1240,40.2666
P5,3,1242,43.8947
P5,3,1244,33.525
P5,3,1246,38.6369
P5,3,1252,24.0148
P5,3,1256,31.1795
P5,3,1271,34.695
P5,3,1273,32.125
P5,3,1276,22.9673
P5,3,1281,57.4403
P5,3,1282,40.581
P5,3,1284,32.6875
P5,3,1305,35.6032
P5,3,1310,43.8927
P5,3,1315,29.7159
P5,3,1318,24.0013
P5,3,1321,35.8184
P5,3,1323,57.2621
P5,3,1332,37.3522
P5,3,1334,28.5075
P5,3,1344,42.1711
P5,3,1345,34.429
P5,3,1348,45.8933
P5,3,1350,25.6342
P6,0,816,24.7558
P6,0,819,21.1532
P6,0,848,27.3966
P6,0,853,44.2949
P6,0,861,31.4286
P6,0,863,32.4279
P6,0,865,23.1646
P6,0,868,42.5215
P6,0,877,36.4972
P6,0,879,39.8423
P6,0,886,33.7497
P6,0,890,34.1291
P6,0,903,27.4834
P6,0,909,26.5675
P6,0,914,35.6713
P6,0,916,21.3123
P6,0,919,37.6367
P6,0,926,25.8319
P6,0,928,29.1542
P6,0,930,38.2771
P6,0,931,45.7203
P6,0,932,40.199
P6,0,933,39.0967
P6,0,935,34.226
P6,0,936,39.8867
P6,0,941,37.8517
P6,0,943,31.8004
P6,0,945,42.138
P6,0,947,31.0658
P6,0,951,32.694
P6,0,979,35.5578
P6,0,982,34.5921
P6,0,983,35.8017
P6,0,986,32.1564
P6,0,991,40.0221
P6,0,1009,47.6018
P6,0,1017,20.5698
P6,0,1019,32.2095
P6,0,1043,50.2886
P6,0,1045,35.4714
P6,0,1047,27.9646
P6,0,1048,27.7105
P6,0,1053,35.6857
P6,0,1056,43.5262
P6,0,1065,24.5372
P6,0,1071,30.3942
P6,0,1072,24.5982
P6,0,1073,29.9027
P6,0,1074,28.4754
P6,0,1079,29.6242
P6,0,1083,34.508
P6,0,1084,23.5496
P6,0,1085,33.2204
P6,0,1099,27.9835
P6,0,1100,33.3225
P6,0,1113,34.0499
P6,0,1114,45.8349
P6,0,1115,41.3074
P6,0,1118,20.7689
P6,0,1119,34.8197
P6,0,1120,40.1332
P6,0,1121,36.7854
P6,0,1122,32.8388
P6,0,1123,42.1006
P6,0,1125,44.1737
P6,0,1133,22.5349
P6,0,1134,22.3603
P6,0,1136,34.6579
P6,0,1145,43.0203
P6,0,1147,37.7709
P6,0,1148,32.2514
P6,0,1149,31.1474
P6,0,1157,46.5439
P6,0,1162,37.6735
P6,0,1164,41.4589
P6,0,1165,30.6877
P6,0,1180,32.7407
P6,0,1183,30.2376
P6,0,1184,24.1147
P6,0,1185,31.329
P6,0,1186,30.4676
P6,0,1190,26.0683
P6,0,1192,40.4372
P6,0,1195,29.7449
P6,0,1199,27.954
P6,0,1200,27.1336
P6,3,2025,39.4709
P6,3,2045,27.7066
P6,3,2063,52.2963
P6,3,2071,47.975
P6,3,2075,42.0895
P6,3,2078,42.9018
P6,3,2082,45.275
P6,3,2086,32.8858
P6,3,2088,31.1076
P6,3,2092,31.366
P6,3,2094,42.0076
P6,3,2099,27.037
P6,3,2100,34.7019
P6,3,2101,57.5805
P6,3,2108,41.1098
P6,3,2109,35.6281
P6,3,2110,27.6661
P6,3,2111,40.364
P6,3,2115,38.613
P6,3,2129,31.0238
P6,3,2131,50.1975
P6,3,2136,45.4666
P6,3,2151,32.2697
P6,3,2157,29.8045
P6,3,2158,36.0721
P6,3,2170,37.1939
P6,3,2176,23.8127
P6,3,2179,24.444
P6,3,2182,35.8391
P6,3,2183,23.772
P6,3,2189,31.0049
P6,3,2201,44.914
P6,3,2202,38.1981
P6,3,2205,22.5833
P6,3,2214,46.1879
P6,3,2237,36.7572
P6,3,2238,54.5598
P6,3,2239,40.5012
P6,3,2240,50.6266
P6,3,2247,31.6233
P6,3,2248,41.6473
P6,3,2250,29.4996
P6,3,2251,39.1533
P6,3,2257,39.8111
P6,3,2259,38.0751
P6,3,2262,41.5705
P6,3,2268,42.0224
P6,3,2269,62.9405
P6,3,2270,24.4809
P6,3,2271,56.9878
P6,3,2274,41.1411
P6,3,2287,39.6976
P6,3,2292,27.9369
P6,3,2293,42.8386
P6,3,2294,29.6083
P6,3,2304,54.5945
P6,3,2306,38.4486
P6,3,2308,22.5916
P6,3,2309,27.2865
P6,3,2311,36.4803
P6,3,2321,30.9797
P6,3,2322,51.9047
P8,0,2847,22.1598
P8,0,2858,36.9637
P8,0,2859,36.2348
P8,0,2861,49.4038
P8,0,2862,30.9222
P8,0,2869,44.2601
P8,0,2875,44.1061
P8,0,2889,26.5022
P8,0,2899,40.9742
P8,0,2906,27.3813
P8,0,2914,42.1955
P8,0,2916,39.5147
P8,0,2920,42.813
P8,0,2929,26.5158
P8,0,2933,41.3343
P8,0,2934,34.6204
P8,0,2935,27.2643
P8,0,2937,31.6294
P8,0,2940,21.7843
P8,0,2942,29.9625
P8,0,2943,47.2769
P8,0,2944,37.9086
P8,0,2949,28.0675
P8,0,2953,26.4405
P8,0,2975,26.6502
P8,0,2977,31.4281
P8,0,2985,33.3533
P8,0,3006,35.6299
P8,0,3011,36.3383
P8,0,3023,26.6189
P8,0,3041,39.978
P8,0,3043,24.6535
P8,0,3044,25.4057
P8,0,3046,27.668
P8,0,3049,29.817
P8,0,3051,43.338
P8,0,3053,33.7787
P8,0,3056,38.9886
P8,0,3074,34.4581
P8,0,3082,30.302
P8,0,3084,28.8656
P8,0,3088,26.7714
P8,0,3090,31.3665
P8,0,3091,39.2119
P8,0,3109,30.047
P8,0,3115,29.8288
P8,0,3117,39.2168
P8,0,3119,21.8298
P8,0,3120,37.6794
P8,0,3121,36.6226
P8,0,3122,45.091
P8,0,3138,37.3765
P8,0,3139,34.17
P8,0,3142,41.9761
P8,0,3149,20.0628
P8,0,3150,21.7996
P8,0,3152,45.6859
P8,0,3153,35.596
P8,0,3155,19.241
P8,0,3159,53.7267
P8,0,3161,28.8433
P8,0,3168,45.4118
P8,0,3169,18.0857
P8,0,3170,39.8733
P8,0,3178,44.3664
P8,0,3179,28.8439
P8,0,3180,44.2331
P8,0,3181,36.0097
P8,0,3182,32.8643
P8,0,3185,27.9234
P8,0,3198,29.1466
P8,0,3210,24.1817
P8,0,3211,36.6113
P8,0,3212,35.9538
P8,0,3215,28.0531
P8,0,3229,27.9858
P8,0,3230,33.4407
P8,0,3233,35.5091
P8,0,3235,25.4931
P8,0,3236,23.087
P8,0,3241,39.5467
