plant,time point,dividing parent cell,parent neighbor,dividingCellArea,neighbourCellArea,sharedWall,distance,dividingCellPerimeter,neighbourCellPerimeter
p3 FM6 flower 1,0,13355,13372,50.2545,33.5545,7.39326,5.755239693531449,94546,81674
p3 FM6 flower 1,0,13355,13708,50.2545,39.8538,2.28604,8.124979916750565,94546,67066
p3 FM6 flower 1,0,13355,13723,50.2545,38.0303,4.50772,8.226472139380284,94546,80857
p3 FM6 flower 1,0,13355,13732,50.2545,41.4067,4.77803,7.644662933995192,94546,81318
p3 FM6 flower 1,0,13317,13299,44.591,69.7768,10.6333,5.573121089847232,81040,80569
p3 FM6 flower 1,0,13317,13300,44.591,55.5868,1.13605,10.301895283665038,81040,108424
p3 FM6 flower 1,0,13317,13327,44.591,53.6323,3.94047,7.989545584474753,81040,80693
p3 FM6 flower 1,0,13317,13697,44.591,50.9959,5.3475,8.584354629463999,81040,67995
p3 FM6 flower 1,0,13317,13708,44.591,39.8538,5.77132,6.233577816222398,81040,67066
p3 FM6 flower 1,0,13317,13709,44.591,52.2723,2.14194,8.444456108354224,81040,81273
p3 FM6 flower 1,0,13687,13212,75.8963,26.864,5.27433,7.537657405487465,80947,81634
p3 FM6 flower 1,0,13687,13306,75.8963,48.3926,5.21437,8.170859884742853,80947,81231
p3 FM6 flower 1,0,13687,13629,75.8963,20.8264,5.04221,6.900725798030234,80947,68639
p3 FM6 flower 1,0,13687,13767,75.8963,30.1162,4.85922,7.1511359666559295,80947,81797
p3 FM6 flower 1,0,13327,13299,53.6323,69.7768,4.24784,9.33664849108608,80693,80569
p3 FM6 flower 1,0,13327,13317,53.6323,44.591,3.94047,7.989545584474753,80693,81040
p3 FM6 flower 1,0,13327,13326,53.6323,43.6528,8.2889,5.636048271519682,80693,81496
p3 FM6 flower 1,0,13327,13355,53.6323,50.2545,4.16431,8.453323873299787,80693,94546
p3 FM6 flower 1,0,13327,13688,53.6323,54.835,5.02001,8.552594957648813,80693,81002
p3 FM6 flower 1,0,13327,13708,53.6323,39.8538,5.38618,6.962210268449239,80693,67066
p3 FM6 flower 1,0,13779,13745,71.6113,61.2707,2.41252,10.762810121466233,68784,95905
p3 FM6 flower 1,0,13779,13762,71.6113,32.5728,5.32106,7.911523241803689,68784,68576
p3 FM6 flower 1,0,13779,13778,71.6113,74.7722,10.0703,7.096156473760986,68784,68865
p3 FM6 flower 1,0,13538,13504,42.2876,46.542,4.41997,8.823188251561902,82366,81730
p3 FM6 flower 1,0,13538,13741,42.2876,22.2397,0.917056,8.578871451426462,82366,67900
p3 FM6 flower 1,0,13538,13747,42.2876,46.2088,9.45697,4.878614001179021,82366,81350
p3 FM6 flower 1,0,13538,13771,42.2876,47.8188,8.40069,5.805667218365174,82366,68630
p3 FM6 flower 1,0,13538,13772,42.2876,78.0961,0.313903,9.350001593203071,82366,108808
p3 FM6 flower 1,0,13748,13470,38.4688,29.3957,6.44478,5.553939322678991,81800,68179
p3 FM6 flower 1,0,13748,13539,38.4688,27.6979,1.01148,8.1930812216223,81800,95444
